 0.368	  0.66	  3.61
 0.369	  0.67	  3.62
 0.370	  0.67	  3.63
 0.371	  0.67	  3.64
 0.372	  0.68	  3.65
 0.373	  0.68	  3.66
 0.374	  0.68	  3.67
 0.375	  0.69	  3.68
 0.376	  0.69	  3.69
 0.377	  0.70	  3.70
 0.378	  0.70	  3.71
 0.379	  0.70	  3.72
 0.380	  0.71	  3.73
 0.381	  0.71	  3.74
 0.382	  0.71	  3.75
 0.383	  0.72	  3.76
 0.384	  0.72	  3.77
 0.385	  0.73	  3.78
 0.386	  0.73	  3.79
 0.387	  0.73	  3.79
 0.388	  0.74	  3.80
 0.389	  0.74	  3.81
 0.390	  0.74	  3.82
 0.391	  0.75	  3.83
 0.392	  0.75	  3.84
 0.393	  0.76	  3.85
 0.394	  0.76	  3.86
 0.395	  0.76	  3.87
 0.396	  0.77	  3.88
 0.397	  0.77	  3.89
 0.398	  0.77	  3.90
 0.399	  0.78	  3.91
 0.400	  0.78	  3.92
 0.401	  0.79	  3.93
 0.402	  0.79	  3.94
 0.403	  0.79	  3.95
 0.404	  0.80	  3.96
 0.405	  0.80	  3.97
 0.406	  0.81	  3.98
 0.407	  0.81	  3.99
 0.408	  0.81	  4.00
 0.409	  0.82	  4.01
 0.410	  0.82	  4.02
 0.411	  0.83	  4.03
 0.412	  0.83	  4.04
 0.413	  0.83	  4.05
 0.414	  0.84	  4.06
 0.415	  0.84	  4.07
 0.416	  0.85	  4.08
 0.417	  0.85	  4.09
 0.418	  0.85	  4.10
 0.419	  0.86	  4.11
 0.420	  0.86	  4.12
 0.421	  0.87	  4.13
 0.422	  0.87	  4.14
 0.423	  0.88	  4.15
 0.424	  0.88	  4.16
 0.425	  0.88	  4.17
 0.426	  0.89	  4.18
 0.427	  0.89	  4.19
 0.428	  0.90	  4.20
 0.429	  0.90	  4.21
 0.430	  0.90	  4.22
 0.431	  0.91	  4.23
 0.432	  0.91	  4.24
 0.433	  0.92	  4.25
 0.434	  0.92	  4.26
 0.435	  0.93	  4.27
 0.436	  0.93	  4.28
 0.437	  0.93	  4.28
 0.438	  0.94	  4.29
 0.439	  0.94	  4.30
 0.440	  0.95	  4.31
 0.441	  0.95	  4.32
 0.442	  0.96	  4.33
 0.443	  0.96	  4.34
 0.444	  0.96	  4.35
 0.445	  0.97	  4.36
 0.446	  0.97	  4.37
 0.447	  0.98	  4.38
 0.448	  0.98	  4.39
 0.449	  0.99	  4.40
 0.450	  0.99	  4.41
 0.451	  1.00	  4.42
 0.452	  1.00	  4.43
 0.453	  1.00	  4.44
 0.454	  1.01	  4.45
 0.455	  1.01	  4.46
 0.456	  1.02	  4.47
 0.457	  1.02	  4.48
 0.458	  1.03	  4.49
 0.459	  1.03	  4.50
 0.460	  1.04	  4.51
 0.461	  1.04	  4.52
 0.462	  1.04	  4.53
 0.463	  1.05	  4.54
 0.464	  1.05	  4.55
 0.465	  1.06	  4.56
